50,50,135,25,-16777216
75,50,135,25,-16777216
100,50,135,25,-16777216
125,50,135,25,-16777216
50,75,135,25,-16777216
50,100,135,25,-16777216
50,125,135,25,-16777216
125,75,135,25,-16777216
125,100,135,25,-16777216
125,125,135,25,-16777216
125,25,170,25,-7077888
150,25,170,25,-7077888
150,50,170,25,-7077888
50,25,170,25,-7077888
25,25,170,25,-7077888
25,50,170,25,-7077888
225,125,195,25,-16711680
225,100,195,25,-16711680
225,75,195,25,-16711680
225,50,195,25,-16711680
250,50,195,25,-16711680
275,50,195,25,-16711680
300,50,195,25,-16711680
300,75,195,25,-16711680
300,100,195,25,-16711680
300,125,195,25,-16711680
200,50,225,25,-9437184
200,25,225,25,-9437184
225,25,225,25,-9437184
300,25,225,25,-9437184
325,25,225,25,-9437184
325,50,225,25,-9437184
125,275,105,25,-15705182
200,275,105,25,-15705182
275,275,105,25,-15705182
50,275,105,25,-15705182
175,225,105,25,-15705182
100,200,105,25,-15705182
300,350,105,25,-15705182
75,350,105,25,-15705182
275,175,105,25,-15705182
225,350,105,25,-15705182
